,Month,Day,Year,Assgn_dam,NodeCount_x,NodeCount_y
696,1,27,2022,8642.0,39,49
697,1,27,2023,59.0,31,48
698,1,27,2023,60.0,22,43
699,1,27,2025,15.0,36,5
700,1,27,2025,246.0,42,50
701,1,28,2015,567.0,22,35
702,1,28,2015,587.0,48,45
703,1,28,2015,591.0,49,45
704,1,28,2015,620.0,49,46
705,1,28,2015,8678.0,20,26
706,1,28,2016,225.0,28,40
707,1,28,2016,231.0,10,46
708,1,28,2016,232.0,23,49
709,1,28,2016,253.0,50,47
710,1,28,2016,8530.0,22,31
711,1,28,2018,301.0,11,38
712,1,28,2018,306.0,20,32
713,1,28,2018,8560.0,50,42
714,1,28,2018,8562.0,6,49
715,1,28,2019,488.0,30,47
716,1,28,2019,495.0,46,26
717,1,28,2019,8644.0,22,25
718,1,28,2019,8658.0,13,49
719,1,28,2021,8678.0,20,26
720,1,28,2022,231.0,11,48
721,1,28,2022,232.0,22,48
722,1,28,2022,250.0,22,18
723,1,28,2022,253.0,26,31
724,1,28,2022,266.0,49,37
725,1,28,2023,59.0,33,22
726,1,28,2023,60.0,24,31
727,1,28,2024,297.0,12,43
728,1,28,2025,476.0,5,46
729,1,28,2025,484.0,34,47
730,1,28,2025,488.0,28,42
731,1,28,2025,8527.0,5,48
732,1,28,2025,8660.0,5,50
733,1,29,2014,246.0,45,50
734,1,29,2015,96.0,21,5
735,1,29,2016,501.0,5,18
736,1,29,2016,525.0,11,35
737,1,29,2017,95.0,10,37
738,1,29,2017,99.0,17,44
739,1,29,2017,103.0,20,42
740,1,29,2017,426.0,5,50
741,1,29,2017,8626.0,50,50
742,1,29,2017,8635.0,50,48
743,1,29,2019,44.0,30,47
744,1,29,2019,265.0,48,43
745,1,29,2019,266.0,49,33
746,1,29,2019,268.0,39,50
747,1,29,2019,8530.0,15,33
748,1,29,2019,8532.0,44,37
749,1,29,2019,8534.0,50,48
750,1,29,2021,8550.0,46,50
751,1,29,2022,265.0,43,39
752,1,29,2022,268.0,37,46
753,1,29,2022,525.0,10,37
754,1,29,2022,8532.0,44,38
755,1,29,2023,30.0,47,42
756,1,29,2023,95.0,14,5
757,1,29,2024,298.0,8,38
758,1,29,2024,301.0,20,34
759,1,29,2024,591.0,48,46
760,1,29,2024,620.0,49,47
761,1,29,2024,8546.0,37,47
762,1,29,2024,8562.0,6,49
763,1,29,2025,48.0,8,48
764,1,29,2025,310.0,32,43
765,1,29,2025,501.0,5,17
766,1,29,2025,8680.0,27,48
767,1,29,2025,8681.0,50,46
768,1,30,2014,453.0,34,14
769,1,30,2014,454.0,34,45
770,1,30,2014,459.0,26,7
771,1,30,2014,481.0,10,35
772,1,30,2014,484.0,27,44
773,1,30,2014,488.0,17,47
774,1,30,2014,8642.0,15,46
775,1,30,2014,8660.0,5,24
776,1,30,2016,269.0,36,9
777,1,30,2016,297.0,11,43
778,1,30,2016,298.0,8,35
779,1,30,2017,225.0,21,45
780,1,30,2017,231.0,5,43
781,1,30,2017,232.0,23,32
782,1,30,2017,250.0,45,18
783,1,30,2018,421.0,21,46
784,1,30,2018,8594.0,5,49
785,1,30,2018,8612.0,49,46
786,1,30,2019,554.0,29,46
787,1,30,2019,555.0,23,45
788,1,30,2019,567.0,21,48
789,1,30,2019,587.0,48,46
790,1,30,2021,670.0,47,5
791,1,30,2022,48.0,10,45
792,1,30,2022,57.0,5,21
793,1,30,2022,295.0,8,48
794,1,30,2022,297.0,8,42
